,Unnamed: 0,video_id,video_title,upload_date,view_count,like_count,comment_count,mean_weighted_sentiment_score,median_weighted_sentiment_score,std_weighted_sentiment_score,sentiment_label,days_since_upload,views_per_day,comment_count_per_day
0,0,DOtPOfeyJ4Q,Confronting the seller of a questionable Kobe autograph,2022-11-02,781610,62761,447,0.0601848850776622,0.1183066368103027,0.52378724860144,Neutral,2.0,390805.0,223.5
1,1,ZrZVTAdSMl8,Do experts think my cheap Kobe autograph is real?,2022-11-01,113539,9483,57,0.1176545612739794,0.1493313908576965,0.7405422450420146,Positive,3.0,37846.33,19.0
2,2,_DcZFOirIDE,Anyone need a new camera?,2022-11-01,40723,3162,3230,0.630732670561305,0.8541512191295624,0.4303122415499242,Positive,3.0,13574.33,1076.67
3,3,JVHboSk65-k,I asked collectors if my cheap Kobe autographs are real,2022-10-31,971564,78562,70,0.2437240615804144,0.1585006833076477,0.5688061192989387,Positive,4.0,242891.0,17.5
4,4,nxy-A8auW9U,Unboxing a $400 Kobe autographed ball (real?),2022-10-28,501415,46803,70,-0.3029187513972228,-0.5025392174720764,0.4895255826107549,Negative,7.0,71630.71,10.0
5,5,IzbqWW52D6Y,I bought a $400 Kobe autographed basketball (sus?),2022-10-28,1469829,135524,88,-0.080824173774038,0.1299319207668304,0.567284930865481,Neutral,7.0,209975.57,12.57
6,6,pNbLkQV3OkQ,Is the cheapest Kobe autographed ball online real?,2022-10-26,2103937,141783,220,-0.1474541681964381,0.1012435436248779,0.5066059358784356,Negative,9.0,233770.78,24.44
7,7,i-EGeo6iLx0,I bought the cheapest Kobe autographed ball online,2022-10-26,455423,30172,68,-0.0566802020072937,0.1034752666950225,0.6137086969133877,Neutral,9.0,50602.56,7.56
8,8,DfapVOpJdks,How much gold I found in $100 Amazon pay dirt,2022-10-20,1835207,110940,606,-0.1432744229318306,0.1045309424400329,0.5767883040761381,Negative,15.0,122347.13,40.4
9,9,iwe3SuNkXbg,I bought $500 worth of G-Shock￼￼ watches,2022-10-14,1162979,75225,1536,0.3882925440704606,0.4698635935783386,0.5337904187385369,Positive,21.0,55379.95,73.14
10,10,JZvrStxx2Z8,I manufactured Yeezy sunglasses from scratch,2022-10-12,455182,33210,203,0.0340596083867347,0.1393757998943328,0.6816437238289189,Neutral,23.0,19790.52,8.83
11,11,2iq9yJ_ptso,I paid artists $200 to turn Yeezys into sunglasses (foam runners),2022-10-11,1871976,143156,213,-0.1441106022437873,0.1028690457344055,0.6697865817371861,Negative,24.0,77999.0,8.88
12,12,LidHyLEYw14,I Turned Yeezy Sneakers Into Sunglasses,2022-10-06,9368,478,70,0.4844618991929657,0.7740585803985596,0.5988235795299299,Positive,29.0,323.03,2.41
13,13,luDrIsXN2GI,How I profited off the fidget spinner craze,2022-10-04,3004250,197699,260,-0.084994996368885,0.1180898487567901,0.5334969192431434,Neutral,31.0,96911.29,8.39
14,14,PwAp8AaiOFU,Easy Amazon side hustle - sell books with no words #ad,2022-10-03,48959,3325,30,0.1119312286376953,0.1441152691841125,0.6949855984928205,Positive,32.0,1529.97,0.94
15,15,JSLsY0YdHrY,I made a 3D printed 500k YouTube play button,2022-10-01,49641,4279,39,0.5578583070726105,0.9460793137550354,0.5996670106304108,Positive,34.0,1460.03,1.15
16,16,Yb8PBOMEKiE,Make $1700 A Month Selling Books On Amazon - Easy Side Hustle - No Writing Required,2022-09-28,10834,680,90,0.242818772091585,0.3650694012641906,0.7255921996818453,Positive,37.0,292.81,2.43
17,17,5fwdTOSCHXg,How to make $200 a day with a drone,2022-09-23,1729501,123892,814,-0.1512092721664299,0.113597947359085,0.5264329482552449,Negative,42.0,41178.6,19.38
18,18,_v9TxKu5eHU,My best finds at the thrift store (as a reseller),2022-09-17,96751,6046,67,-0.0742713422388643,0.1224552989006042,0.6203274408944217,Neutral,48.0,2015.65,1.4
19,19,i3PhipDbJec,These boring glasses made me thousands online,2022-09-14,91084,8983,32,0.2504667587005175,0.1586404860019684,0.6515610907281831,Positive,51.0,1785.96,0.63
20,20,2bMxiKefjHw,Testing the world’s brightest flashlight OUTSIDE,2022-09-08,229984,16588,135,-0.0119806018065322,0.1368911504745483,0.5194695203893472,Neutral,57.0,4034.81,2.37
21,21,j1u40MkqNZo,I bought the brightest flashlight in the world ($700),2022-09-07,109407,6937,53,0.1880406878564668,0.1524853587150573,0.4763615872165321,Positive,58.0,1886.33,0.91
22,22,yELjMWa7Lq0,Unboxing the brightest flashlight in the world ($700),2022-09-07,50759,3611,35,0.1773505544662475,0.1407070755958557,0.5149946023743192,Positive,58.0,875.16,0.6
23,23,WWvX_Ls1zd8,Picking the winner of the MacBook…,2022-09-05,53219,3890,59,0.3675026638385577,0.5336789488792419,0.5864206892284509,Positive,60.0,886.98,0.98
24,24,oaoEYpKUaEA,I paid an artist $20 to turn Yeezy sneakers into sunglasses,2022-09-01,4234596,317273,645,-0.0654939779181182,0.1301554083824157,0.5930746929705852,Neutral,64.0,66165.56,10.08
25,25,7VuYOkPG4AE,I got a gadget filled mystery box in the mail #shorts #sponsored,2022-08-31,211944,16214,154,-0.1349687055505887,0.1155570387840271,0.6124054767670268,Negative,65.0,3260.68,2.37
26,26,eSuFxZErf-c,The unfortunate truth of many US “factories”,2022-08-29,200262,10788,62,0.09195497463911,0.1502678394317627,0.5078351945017271,Neutral,67.0,2988.99,0.93
27,27,yYqWz-v9frA,Valuing the gold I found in Amazon pay dirt,2022-08-24,625339,52224,255,-0.0483767862577696,0.12913658618927,0.5389065167767132,Neutral,72.0,8685.26,3.54
28,28,3-V00ElEXig,How much gold I found in Amazon pay dirt,2022-08-23,5827039,248207,778,-0.1768413202378197,0.105675584077835,0.5496149912123519,Negative,73.0,79822.45,10.66
29,29,7H0SC3a1J10,Is Gold Pay Dirt A Good Side Hustle?,2022-08-22,1844903,117969,420,-0.2032565093734889,0.103080403804779,0.526645664504715,Negative,74.0,24931.12,5.68
30,30,_ysQw7k675o,I Bought Gold Pay Dirt And Made $______,2022-08-19,37322,1582,230,0.1775877017866481,0.1571132242679595,0.610941251278904,Positive,77.0,484.7,2.99
31,31,9-_qO9MfTso,How much my money making hotspot has made,2022-08-18,866417,64077,246,-0.3011059377134217,-0.5440095663070679,0.5213630876005506,Negative,78.0,11107.91,3.15
32,32,AdMYj6_5PpA,He sold me fake Pokémon cards… maybe?,2022-08-12,421491,21197,493,-0.0514278408845265,0.1277237415313721,0.4577978108412194,Neutral,84.0,5017.75,5.87
33,33,wIKBjVd8Yrw,He had 0 viewers… so I sent him $ for bitcoin,2022-08-11,157334,8667,87,0.0377381018229893,0.1261795282363891,0.6012089951783197,Neutral,85.0,1850.99,1.02
