,video_id,video_title,upload_date,view_count,like_count,comment_count,std_sentiment_score,mean_sentiment_score,median_sentiment_score
83,Hz4bcxs7Vms,The genius marketing behind NELK  Full Send…,2021-08-02,154792,4941,109,0.5496035031255014,-0.18191449719667435,0.11956477761268616
82,pnOtEPg1GAE,How Yeti Charges $35 For A Cup…,2021-08-04,1038455,37628,691,0.5779035542745555,-0.2174995794892311,0.0982188493013382
81,2yn9Pa2W_3w,I got thumbnail advice from MrBeast 😏,2021-09-02,532261,45826,225,0.6220109181291705,-0.29541405695676803,-0.654583066701889
80,6hfjCpnlzDc,I tried finding profitable sneakers at Kohl’s 😖,2021-10-20,650797,39161,150,0.634099716879351,-0.13110849618911743,0.10447276830673219
79,erni261z5wU,I tried flipping NFTs… here’s how much I made.,2021-10-27,4474616,168062,1917,0.5562458550898426,-0.31934523248672486,-0.590276449918747
78,vraQBntRrPE,Trying to turn $0 into $10k from scratch 💰,2021-10-28,4715317,245725,1026,0.5307431205925772,-0.15697018146514893,0.11549560427665712
77,FzYz_NPwtq0,My New Money Printing Tablet Farm,2022-01-07,225342,11572,245,0.37737229446751996,0.11140776121616364,0.1564221501350403
76,owD-CiSL80Y,How much I made selling dollar store items online…,2022-01-17,1452106,85132,493,0.6188103789624131,-0.41272032672166825,-0.7247146368026733
75,I4f0lEcZQII,At 25yo I was doing $100k per month on eBay,2022-01-24,521855,27326,164,0.619293681459055,0.07892233473062517,0.15030265450477603
74,3S7lqhdaOZw,I Paid Fiverr Video Editors To Make A Commercial,2022-01-25,1744928,121666,2473,0.5666047482497009,0.09683070969581603,0.13862346410751342
73,uEaXu1m4R5Y,How much my Pokémon cards investment is worth 💰,2022-01-26,14570731,874614,2566,0.524154146798127,-0.0612716285586357,0.1307966113090515
72,Nbrj0tIVXb0,How I built a tablet farm that makes me money…,2022-01-28,13609004,584782,4414,0.5497101585317652,-0.05611750769615173,0.12460238933563234
71,hqNw6WsmZeI,Why I’m not selling NFT’s ever again…,2022-01-31,435588,15715,268,0.5763434639135034,-0.14661837911605835,0.09911629557609558
70,kFHPPvjvxxM,I made a chain so I can wear my NFT’s…,2022-02-02,98791,4843,103,0.6068258222690278,0.08379543960094452,0.12973400354385375
69,JM2vkZBf0G4,How to grow $1k into $1mil online (what I did),2022-02-04,268687,14051,136,0.6143508261511003,-0.07902955842018128,0.1206320106983185
68,vzAqjWPBdSc,How I made my NFT chain (step by step),2022-02-07,223064,7828,152,0.6414196598561211,-0.14677722597122192,0.10293744206428529
67,_k56dhmsU_0,I paid Fiverr $30 and $120 to design NFT’s (comparison),2022-02-11,2493035,153407,1394,0.6470501587624776,-0.14387061268091203,0.08812994956970215
66,DitHFGQgqnY,Ranking side hustles I’ve tried from worst to best,2022-02-14,3036555,182392,698,0.6386735184131992,0.024901791691780095,0.1412588834762573
65,xED6b2rRHM8,A multimillionaire CEO’s secret manufacturing tip,2022-02-18,1092992,51289,338,0.6619528946785361,0.20882877165079117,0.1608241677284241
